ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
3.251967232783260897e+01,-3.609485933594825280e+00,3.770258087991344809e+01
